"lag","cost","nu","gamma","corr_pred"
1,4096,0.5,256,0.0586655791583602
2,4096,0.5,256,0.0586655791583602
3,4096,0.5,256,0.0586655791583602
4,4096,0.5,256,0.0586655791583602
5,4096,0.5,256,0.0586655791583602
1,4096,0.9,256,0.059465542497425
2,4096,0.9,256,0.059465542497425
3,4096,0.9,256,0.059465542497425
4,4096,0.9,256,0.059465542497425
5,4096,0.9,256,0.059465542497425
1,4096,0.1,256,0.0880763190350245
2,4096,0.1,256,0.0880763190350245
3,4096,0.1,256,0.0880763190350245
4,4096,0.1,256,0.0880763190350245
5,4096,0.1,256,0.0880763190350245
1,4096,0.5,1024,0.0970362579025217
2,4096,0.5,1024,0.0970362579025217
3,4096,0.5,1024,0.0970362579025217
4,4096,0.5,1024,0.0970362579025217
5,4096,0.5,1024,0.0970362579025217
1,4096,0.9,1024,0.0970551434689459
2,4096,0.9,1024,0.0970551434689459
3,4096,0.9,1024,0.0970551434689459
4,4096,0.9,1024,0.0970551434689459
5,4096,0.9,1024,0.0970551434689459
1,4096,0.1,1024,0.0970708510337624
2,4096,0.1,1024,0.0970708510337624
3,4096,0.1,1024,0.0970708510337624
4,4096,0.1,1024,0.0970708510337624
5,4096,0.1,1024,0.0970708510337624
1,1024,0.9,1024,0.108865783605366
2,1024,0.9,1024,0.108865783605366
3,1024,0.9,1024,0.108865783605366
4,1024,0.9,1024,0.108865783605366
5,1024,0.9,1024,0.108865783605366
1,1024,0.5,1024,0.108866314090773
2,1024,0.5,1024,0.108866314090773
3,1024,0.5,1024,0.108866314090773
4,1024,0.5,1024,0.108866314090773
5,1024,0.5,1024,0.108866314090773
1,1024,0.1,1024,0.108904948554867
2,1024,0.1,1024,0.108904948554867
3,1024,0.1,1024,0.108904948554867
4,1024,0.1,1024,0.108904948554867
5,1024,0.1,1024,0.108904948554867
1,0.0625,0.1,4096,0.110836503927438
2,0.0625,0.1,4096,0.110836503927438
3,0.0625,0.1,4096,0.110836503927438
4,0.0625,0.1,4096,0.110836503927438
5,0.0625,0.1,4096,0.110836503927438
1,0.25,0.1,4096,0.120893576303086
2,0.25,0.1,4096,0.120893576303086
3,0.25,0.1,4096,0.120893576303086
4,0.25,0.1,4096,0.120893576303086
5,0.25,0.1,4096,0.120893576303086
1,1024,0.9,256,0.121308163267923
2,1024,0.9,256,0.121308163267923
3,1024,0.9,256,0.121308163267923
4,1024,0.9,256,0.121308163267923
5,1024,0.9,256,0.121308163267923
1,1024,0.5,256,0.121323208837593
2,1024,0.5,256,0.121323208837593
3,1024,0.5,256,0.121323208837593
4,1024,0.5,256,0.121323208837593
5,1024,0.5,256,0.121323208837593
1,256,0.1,1024,0.141569637207701
2,256,0.1,1024,0.141569637207701
3,256,0.1,1024,0.141569637207701
4,256,0.1,1024,0.141569637207701
5,256,0.1,1024,0.141569637207701
1,256,0.9,1024,0.142142725006746
2,256,0.9,1024,0.142142725006746
3,256,0.9,1024,0.142142725006746
4,256,0.9,1024,0.142142725006746
5,256,0.9,1024,0.142142725006746
1,256,0.5,1024,0.142144496287353
2,256,0.5,1024,0.142144496287353
3,256,0.5,1024,0.142144496287353
4,256,0.5,1024,0.142144496287353
5,256,0.5,1024,0.142144496287353
1,1,0.1,4096,0.146540853763078
2,1,0.1,4096,0.146540853763078
3,1,0.1,4096,0.146540853763078
4,1,0.1,4096,0.146540853763078
5,1,0.1,4096,0.146540853763078
1,0.0625,0.9,4096,0.151890983569173
2,0.0625,0.9,4096,0.151890983569173
3,0.0625,0.9,4096,0.151890983569173
4,0.0625,0.9,4096,0.151890983569173
5,0.0625,0.9,4096,0.151890983569173
1,0.0625,0.1,1024,0.171241095908814
2,0.0625,0.1,1024,0.171241095908814
3,0.0625,0.1,1024,0.171241095908814
4,0.0625,0.1,1024,0.171241095908814
5,0.0625,0.1,1024,0.171241095908814
1,0.25,0.9,4096,0.17620352865807
2,0.25,0.9,4096,0.17620352865807
3,0.25,0.9,4096,0.17620352865807
4,0.25,0.9,4096,0.17620352865807
5,0.25,0.9,4096,0.17620352865807
1,256,0.9,256,0.177844573743597
2,256,0.9,256,0.177844573743597
3,256,0.9,256,0.177844573743597
4,256,0.9,256,0.177844573743597
5,256,0.9,256,0.177844573743597
1,256,0.5,256,0.177892150064184
2,256,0.5,256,0.177892150064184
3,256,0.5,256,0.177892150064184
4,256,0.5,256,0.177892150064184
