PAM,VFSC
96.59,50.92
96.62,51.98
96.82,52.91
97.15,53.71
97.60,54.39
98.14,54.94
98.74,55.38
99.37,55.71
100.02,55.94
100.64,56.06
101.23,56.10
101.67,56.00
101.93,55.75
102.12,55.46
102.24,55.15
102.30,54.84
102.32,54.58
102.33,54.63
102.30,54.77
102.24,54.92
102.14,55.05
102.01,55.13
101.81,55.01
101.54,54.56
101.26,54.07
100.98,53.56
100.72,53.09
100.50,52.69
100.46,52.75
100.47,52.90
100.51,53.10
100.57,53.30
100.63,53.46
100.64,53.36
100.60,52.97
100.54,52.56
100.50,52.17
100.46,51.84
100.45,51.63
100.46,51.91
100.51,52.30
100.59,52.76
100.72,53.26
100.90,53.77
101.24,54.10
101.65,54.37
102.07,54.63
102.49,54.90
102.88,55.18
103.13,55.62
103.27,56.12
103.37,56.61
103.44,57.06
103.47,57.44
103.46,57.60
103.42,57.44
103.38,57.23
103.36,57.01
103.37,56.82
103.44,56.73
103.71,57.05
104.01,57.46
104.34,57.93
104.67,58.43
104.98,58.92
105.22,59.37
105.42,59.76
105.58,60.08
105.67,60.31
105.69,60.39
105.57,60.14
105.40,59.80
105.17,59.38
104.89,58.92
104.59,58.44
104.29,58.17
103.98,57.92
103.64,57.67
103.29,57.42
102.91,57.16
102.52,56.80
102.11,56.37
101.69,55.92
101.26,55.49
100.81,55.07
100.36,54.69
99.83,54.44
99.31,54.23
98.83,54.06
98.40,53.93
98.04,53.84
97.92,53.82
97.93,53.84
97.98,53.85
98.05,53.84
98.13,53.79
98.07,53.62
97.92,53.33
97.75,52.99
97.58,52.59
97.41,52.14
97.29,51.62
97.26,51.01
97.24,50.39
97.24,49.78
97.25,49.21
97.25,48.70
97.16,48.41
97.08,48.20
97.01,48.06
96.97,47.99
96.98,47.98
97.14,48.05
97.38,48.18
97.64,48.33
97.89,48.49
98.13,48.65
98.25,48.75
98.29,48.81
98.29,48.85
98.24,48.87
98.16,48.88
98.04,48.87
97.89,48.83
97.70,48.79
97.50,48.74
97.28,48.70
97.06,48.67
96.85,48.64
96.64,48.64
96.43,48.66
96.22,48.71
96.02,48.80
95.79,48.92
95.51,49.09
95.27,49.32
95.09,49.60
95.00,49.95
95.07,50.42
95.46,51.12
95.93,51.85
96.47,52.58
97.02,53.26
97.56,53.85
97.89,54.12
98.18,54.28
98.43,54.32
98.64,54.27
98.81,54.11
98.95,53.79
99.07,53.36
99.15,52.91
99.21,52.47
99.25,52.08
99.25,51.87
99.22,51.90
99.17,52.00
99.13,52.16
99.09,52.36
99.08,52.58
99.13,52.78
99.20,52.98
99.28,53.16
99.38,53.33
99.49,53.47
99.66,53.49
99.82,53.49
99.97,53.46
100.09,53.41
100.17,53.36
100.13,53.33
99.99,53.32
99.83,53.31
99.67,53.32
99.53,53.33
99.48,53.34
99.51,53.35
99.59,53.40
99.71,53.47
99.88,53.59
100.14,53.89
100.46,54.27
100.78,54.65
101.10,54.97
101.40,55.21
101.60,55.13
101.74,54.90
101.82,54.57
101.86,54.15
101.83,53.66
101.72,53.11
101.54,52.53
101.31,51.94
101.05,51.35
100.76,50.79
100.46,50.33
100.17,50.03
99.86,49.78
99.54,49.56
99.20,49.36
98.85,49.15
98.38,48.85
97.91,48.54
97.46,48.23
97.04,47.92
96.68,47.63
96.51,47.38
96.49,47.16
96.52,46.97
96.57,46.80
96.64,46.68
96.65,46.55
96.47,46.35
96.29,46.23
96.13,46.22
96.02,46.35
95.97,46.66
96.19,47.60
96.49,48.71
96.85,49.90
97.25,51.08
97.67,52.19
98.05,52.82
98.41,53.23
98.75,53.52
99.09,53.71
99.42,53.83
99.67,53.91
99.89,53.96
100.12,54.00
100.36,54.02
100.63,54.05
100.97,54.19
101.38,54.38
101.83,54.57
102.34,54.72
102.90,54.82
103.60,54.74
104.36,54.57
105.12,54.33
105.85,54.03
106.52,53.68
106.99,53.28
107.34,52.84
107.60,52.38
107.77,51.90
107.86,51.43
107.87,51.01
107.81,50.63
107.67,50.26
107.47,49.91
107.20,49.58
106.85,49.25
106.38,48.92
105.88,48.61
105.37,48.33
104.86,48.09
104.39,47.91
