"lag","cost","nu","gamma","corr_pred"
1,64,0.8,0.0625,0.636571592774701
2,64,0.8,0.0625,0.636571592774701
3,64,0.8,0.0625,0.636571592774701
4,64,0.8,0.0625,0.636571592774701
5,64,0.8,0.0625,0.636571592774701
1,32,0.9,0.0625,0.635828667969604
2,32,0.9,0.0625,0.635828667969604
3,32,0.9,0.0625,0.635828667969604
4,32,0.9,0.0625,0.635828667969604
5,32,0.9,0.0625,0.635828667969604
1,32,0.8,0.0625,0.635603495591944
2,32,0.8,0.0625,0.635603495591944
3,32,0.8,0.0625,0.635603495591944
4,32,0.8,0.0625,0.635603495591944
5,32,0.8,0.0625,0.635603495591944
1,128,0.7,0.0625,0.635503217322611
2,128,0.7,0.0625,0.635503217322611
3,128,0.7,0.0625,0.635503217322611
4,128,0.7,0.0625,0.635503217322611
5,128,0.7,0.0625,0.635503217322611
1,64,0.9,0.0625,0.634539060278209
2,64,0.9,0.0625,0.634539060278209
3,64,0.9,0.0625,0.634539060278209
4,64,0.9,0.0625,0.634539060278209
5,64,0.9,0.0625,0.634539060278209
1,256,0.7,0.0625,0.634240864918164
2,256,0.7,0.0625,0.634240864918164
3,256,0.7,0.0625,0.634240864918164
4,256,0.7,0.0625,0.634240864918164
5,256,0.7,0.0625,0.634240864918164
1,128,0.8,0.0625,0.634226314461298
2,128,0.8,0.0625,0.634226314461298
3,128,0.8,0.0625,0.634226314461298
4,128,0.8,0.0625,0.634226314461298
5,128,0.8,0.0625,0.634226314461298
1,256,0.6,0.0625,0.633988358964909
2,256,0.6,0.0625,0.633988358964909
3,256,0.6,0.0625,0.633988358964909
4,256,0.6,0.0625,0.633988358964909
5,256,0.6,0.0625,0.633988358964909
1,64,0.7,0.0625,0.633204864211063
2,64,0.7,0.0625,0.633204864211063
3,64,0.7,0.0625,0.633204864211063
4,64,0.7,0.0625,0.633204864211063
5,64,0.7,0.0625,0.633204864211063
1,16,0.8,0.0625,0.633080567414647
2,16,0.8,0.0625,0.633080567414647
3,16,0.8,0.0625,0.633080567414647
4,16,0.8,0.0625,0.633080567414647
5,16,0.8,0.0625,0.633080567414647
1,128,0.6,0.0625,0.632363550181292
2,128,0.6,0.0625,0.632363550181292
3,128,0.6,0.0625,0.632363550181292
