"lag","cost","nu","gamma","corr_pred"
1,4096,0.7,0.015625,0.677836508851045
2,4096,0.7,0.015625,0.677836508851045
3,4096,0.7,0.015625,0.677836508851045
4,4096,0.7,0.015625,0.677836508851045
5,4096,0.7,0.015625,0.677836508851045
1,1024,0.7,0.015625,0.677763012889846
2,1024,0.7,0.015625,0.677763012889846
3,1024,0.7,0.015625,0.677763012889846
4,1024,0.7,0.015625,0.677763012889846
5,1024,0.7,0.015625,0.677763012889846
1,2048,0.7,0.015625,0.677612118981718
2,2048,0.7,0.015625,0.677612118981718
3,2048,0.7,0.015625,0.677612118981718
4,2048,0.7,0.015625,0.677612118981718
5,2048,0.7,0.015625,0.677612118981718
1,8192,0.8,0.03125,0.677528625137891
2,8192,0.8,0.03125,0.677528625137891
3,8192,0.8,0.03125,0.677528625137891
4,8192,0.8,0.03125,0.677528625137891
5,8192,0.8,0.03125,0.677528625137891
1,8192,0.7,0.015625,0.677427853921969
2,8192,0.7,0.015625,0.677427853921969
3,8192,0.7,0.015625,0.677427853921969
4,8192,0.7,0.015625,0.677427853921969
5,8192,0.7,0.015625,0.677427853921969
1,8192,0.8,0.015625,0.677365492387349
2,8192,0.8,0.015625,0.677365492387349
3,8192,0.8,0.015625,0.677365492387349
4,8192,0.8,0.015625,0.677365492387349
5,8192,0.8,0.015625,0.677365492387349
1,4096,0.8,0.015625,0.677238514321929
2,4096,0.8,0.015625,0.677238514321929
3,4096,0.8,0.015625,0.677238514321929
4,4096,0.8,0.015625,0.677238514321929
5,4096,0.8,0.015625,0.677238514321929
1,4096,0.8,0.03125,0.677220465807801
2,4096,0.8,0.03125,0.677220465807801
3,4096,0.8,0.03125,0.677220465807801
4,4096,0.8,0.03125,0.677220465807801
5,4096,0.8,0.03125,0.677220465807801
1,2048,0.8,0.015625,0.677094104144459
2,2048,0.8,0.015625,0.677094104144459
3,2048,0.8,0.015625,0.677094104144459
4,2048,0.8,0.015625,0.677094104144459
5,2048,0.8,0.015625,0.677094104144459
1,1024,0.8,0.03125,0.677092160471328
2,1024,0.8,0.03125,0.677092160471328
3,1024,0.8,0.03125,0.677092160471328
4,1024,0.8,0.03125,0.677092160471328
5,1024,0.8,0.03125,0.677092160471328
1,2048,0.8,0.03125,0.677046230234973
2,2048,0.8,0.03125,0.677046230234973
3,2048,0.8,0.03125,0.677046230234973
4,2048,0.8,0.03125,0.677046230234973
5,2048,0.8,0.03125,0.677046230234973
1,8192,0.7,0.0078125,0.676786201031809
2,8192,0.7,0.0078125,0.676786201031809
3,8192,0.7,0.0078125,0.676786201031809
4,8192,0.7,0.0078125,0.676786201031809
5,8192,0.7,0.0078125,0.676786201031809
1,1024,0.8,0.015625,0.676720287830542
2,1024,0.8,0.015625,0.676720287830542
3,1024,0.8,0.015625,0.676720287830542
4,1024,0.8,0.015625,0.676720287830542
5,1024,0.8,0.015625,0.676720287830542
1,1024,0.7,0.0078125,0.676674620797656
2,1024,0.7,0.0078125,0.676674620797656
3,1024,0.7,0.0078125,0.676674620797656
4,1024,0.7,0.0078125,0.676674620797656
5,1024,0.7,0.0078125,0.676674620797656
1,2048,0.7,0.0078125,0.676562636518642
2,2048,0.7,0.0078125,0.676562636518642
3,2048,0.7,0.0078125,0.676562636518642
4,2048,0.7,0.0078125,0.676562636518642
5,2048,0.7,0.0078125,0.676562636518642
1,4096,0.7,0.0078125,0.676473128791845
2,4096,0.7,0.0078125,0.676473128791845
3,4096,0.7,0.0078125,0.676473128791845
4,4096,0.7,0.0078125,0.676473128791845
5,4096,0.7,0.0078125,0.676473128791845
1,1024,0.7,0.03125,0.67644342101185
2,1024,0.7,0.03125,0.67644342101185
3,1024,0.7,0.03125,0.67644342101185
4,1024,0.7,0.03125,0.67644342101185
5,1024,0.7,0.03125,0.67644342101185
1,1024,0.6,0.0078125,0.676388014768205
2,1024,0.6,0.0078125,0.676388014768205
3,1024,0.6,0.0078125,0.676388014768205
4,1024,0.6,0.0078125,0.676388014768205
5,1024,0.6,0.0078125,0.676388014768205
1,4096,0.6,0.0078125,0.676324843897136
2,4096,0.6,0.0078125,0.676324843897136
3,4096,0.6,0.0078125,0.676324843897136
4,4096,0.6,0.0078125,0.676324843897136
5,4096,0.6,0.0078125,0.676324843897136
1,8192,0.7,0.03125,0.676312255659989
2,8192,0.7,0.03125,0.676312255659989
3,8192,0.7,0.03125,0.676312255659989
4,8192,0.7,0.03125,0.676312255659989
5,8192,0.7,0.03125,0.676312255659989
1,2048,0.6,0.0078125,0.67624956356949
2,2048,0.6,0.0078125,0.67624956356949
3,2048,0.6,0.0078125,0.67624956356949
4,2048,0.6,0.0078125,0.67624956356949
5,2048,0.6,0.0078125,0.67624956356949
1,2048,0.7,0.03125,0.676223958284371
2,2048,0.7,0.03125,0.676223958284371
3,2048,0.7,0.03125,0.676223958284371
4,2048,0.7,0.03125,0.676223958284371
5,2048,0.7,0.03125,0.676223958284371
1,4096,0.7,0.03125,0.676146375449333
2,4096,0.7,0.03125,0.676146375449333
3,4096,0.7,0.03125,0.676146375449333
4,4096,0.7,0.03125,0.676146375449333
5,4096,0.7,0.03125,0.676146375449333
1,8192,0.8,0.0078125,0.676011889293916
2,8192,0.8,0.0078125,0.676011889293916
3,8192,0.8,0.0078125,0.676011889293916
4,8192,0.8,0.0078125,0.676011889293916
5,8192,0.8,0.0078125,0.676011889293916
1,8192,0.6,0.0078125,0.675876061047218
2,8192,0.6,0.0078125,0.675876061047218
3,8192,0.6,0.0078125,0.675876061047218
4,8192,0.6,0.0078125,0.675876061047218
5,8192,0.6,0.0078125,0.675876061047218
1,1024,0.6,0.015625,0.675844933264856
2,1024,0.6,0.015625,0.675844933264856
3,1024,0.6,0.015625,0.675844933264856
4,1024,0.6,0.015625,0.675844933264856
5,1024,0.6,0.015625,0.675844933264856
1,4096,0.8,0.0078125,0.675489091741322
2,4096,0.8,0.0078125,0.675489091741322
3,4096,0.8,0.0078125,0.675489091741322
4,4096,0.8,0.0078125,0.675489091741322
5,4096,0.8,0.0078125,0.675489091741322
1,2048,0.8,0.0078125,0.675401256431443
2,2048,0.8,0.0078125,0.675401256431443
