"lag","cost","nu","gamma","corr_pred"
1,32,0.8,0.03125,0.67877221945287
2,32,0.8,0.03125,0.67877221945287
3,32,0.8,0.03125,0.67877221945287
4,32,0.8,0.03125,0.67877221945287
5,32,0.8,0.03125,0.67877221945287
1,32,0.7,0.03125,0.678647199169545
2,32,0.7,0.03125,0.678647199169545
3,32,0.7,0.03125,0.678647199169545
4,32,0.7,0.03125,0.678647199169545
5,32,0.7,0.03125,0.678647199169545
1,16,0.8,0.03125,0.678543392223257
2,16,0.8,0.03125,0.678543392223257
3,16,0.8,0.03125,0.678543392223257
4,16,0.8,0.03125,0.678543392223257
5,16,0.8,0.03125,0.678543392223257
1,16,0.9,0.03125,0.678481926231192
2,16,0.9,0.03125,0.678481926231192
3,16,0.9,0.03125,0.678481926231192
4,16,0.9,0.03125,0.678481926231192
5,16,0.9,0.03125,0.678481926231192
1,64,0.7,0.03125,0.67840862326213
2,64,0.7,0.03125,0.67840862326213
3,64,0.7,0.03125,0.67840862326213
4,64,0.7,0.03125,0.67840862326213
5,64,0.7,0.03125,0.67840862326213
1,64,0.8,0.03125,0.678213850736213
2,64,0.8,0.03125,0.678213850736213
3,64,0.8,0.03125,0.678213850736213
4,64,0.8,0.03125,0.678213850736213
5,64,0.8,0.03125,0.678213850736213
1,128,0.7,0.03125,0.678148167051619
2,128,0.7,0.03125,0.678148167051619
3,128,0.7,0.03125,0.678148167051619
4,128,0.7,0.03125,0.678148167051619
5,128,0.7,0.03125,0.678148167051619
1,64,0.7,0.015625,0.678129484930937
2,64,0.7,0.015625,0.678129484930937
3,64,0.7,0.015625,0.678129484930937
4,64,0.7,0.015625,0.678129484930937
5,64,0.7,0.015625,0.678129484930937
1,16,0.8,0.0625,0.678063257985901
2,16,0.8,0.0625,0.678063257985901
3,16,0.8,0.0625,0.678063257985901
4,16,0.8,0.0625,0.678063257985901
5,16,0.8,0.0625,0.678063257985901
1,8,0.9,0.0625,0.677901780082869
2,8,0.9,0.0625,0.677901780082869
