"lag","cost","nu","gamma","corr_pred"
1,8,0.4,0.015625,0.577608416376883
2,8,0.4,0.015625,0.577608416376883
3,8,0.4,0.015625,0.577608416376883
4,8,0.4,0.015625,0.577608416376883
5,8,0.4,0.015625,0.577608416376883
1,4,0.4,0.015625,0.57667367846568
2,4,0.4,0.015625,0.57667367846568
3,4,0.4,0.015625,0.57667367846568
4,4,0.4,0.015625,0.57667367846568
5,4,0.4,0.015625,0.57667367846568
1,8,0.9,0.015625,0.576007053782823
2,8,0.9,0.015625,0.576007053782823
3,8,0.9,0.015625,0.576007053782823
4,8,0.9,0.015625,0.576007053782823
5,8,0.9,0.015625,0.576007053782823
1,4,0.8,0.015625,0.575821414198125
2,4,0.8,0.015625,0.575821414198125
3,4,0.8,0.015625,0.575821414198125
4,4,0.8,0.015625,0.575821414198125
5,4,0.8,0.015625,0.575821414198125
1,8,0.8,0.015625,0.575589019396431
2,8,0.8,0.015625,0.575589019396431
3,8,0.8,0.015625,0.575589019396431
4,8,0.8,0.015625,0.575589019396431
5,8,0.8,0.015625,0.575589019396431
1,4,0.7,0.015625,0.575459967526584
2,4,0.7,0.015625,0.575459967526584
3,4,0.7,0.015625,0.575459967526584
4,4,0.7,0.015625,0.575459967526584
5,4,0.7,0.015625,0.575459967526584
1,4,0.5,0.015625,0.57544434456993
2,4,0.5,0.015625,0.57544434456993
3,4,0.5,0.015625,0.57544434456993
4,4,0.5,0.015625,0.57544434456993
5,4,0.5,0.015625,0.57544434456993
1,8,0.6,0.015625,0.574903150214211
2,8,0.6,0.015625,0.574903150214211
3,8,0.6,0.015625,0.574903150214211
4,8,0.6,0.015625,0.574903150214211
5,8,0.6,0.015625,0.574903150214211
1,8,0.7,0.015625,0.574183823031028
2,8,0.7,0.015625,0.574183823031028
3,8,0.7,0.015625,0.574183823031028
4,8,0.7,0.015625,0.574183823031028
5,8,0.7,0.015625,0.574183823031028
1,4,0.6,0.015625,0.57378398261255
2,4,0.6,0.015625,0.57378398261255
3,4,0.6,0.015625,0.57378398261255
4,4,0.6,0.015625,0.57378398261255
